9979,2015-10-21 00:00:00.000,16140538,14160242,$349,500,1964,East,4,1,House,Garage, Integrated garage, Other,48 Rue Cedar|Dollard-Des Ormeaux, Quebec H9B1H6,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16140538/48-Rue-Cedar-Dollard-Des-Ormeaux-Quebec-H9B1H6-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT14160242&Lang=E,0,closed,NULL
35474,2016-01-23 00:00:00.000,16417628,21412159,$295,000,1968,Pierrefonds/West,3,2,House,Garage, Integrated garage,4840 Rue Geneviève|Pierrefonds-Roxboro (Montréal), Quebec H9J1S5,Le propriétaire a le droit de vendre par lui même,http://www.realtor.ca/Residential/Single-Family/16417628/4840-Rue-Geneviève-Pierrefonds-Roxboro-Montréal-Quebec-H9J1S5-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21412159&Lang=E,0,closed,[{"IndividualID":1747098,"Name":"Ana Luisa Elgueta","Organization":{"OrganizationID":54181,"Name":"RE/MAX IMMOBILIA INC.","Logo":"https://cdn.realtor.ca/organization/en-CA/lowres/1007953.jpg","Address":{"AddressText":"2640 HENRI-BOURASSA EST |Montréal, QC H2B1V6"},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"383-2727","AreaCode":"514","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"383-1214","AreaCode":"514","PhoneTypeId":"4"}],"Emails":[{"ContactId":"289043299"}],"Websites":[{"Websites":null,"WebsiteTypeId":"1"}],"Designation":"Real Estate Agency","HasEmail":true,"PermitFreetextEmail":true,"PermitShowListingLink":true},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"999-1689","AreaCode":"514","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"383-1214","AreaCode":"514","PhoneTypeId":"4"}],"Emails":[{"ContactId":"385198616"}],"Photo":"https://cdn.realtor.ca/individual/lowres/1180664.jpg","Position":"Real Estate Broker","PermitFreetextEmail":true,"FirstName":"Ana Luisa","LastName":"Elgueta","CorporationDisplayTypeId":"0","Websites":[{"Website":"http://www.remax-quebec.com/immobilia","WebsiteTypeId":"1"}],"EducationCredentials":null,"CorporationName":null,"CorporationType":null,"CccMember":null},{"IndividualID":1439386,"Name":"Jackeline Mendez","Organization":{"OrganizationID":54181,"Name":"RE/MAX IMMOBILIA INC.","Logo":"https://cdn.realtor.ca/organization/en-CA/lowres/1007953.jpg","Address":{"AddressText":"2640 HENRI-BOURASSA EST |Montréal, QC H2B1V6"},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"383-2727","AreaCode":"514","PhoneTypeId":"1"},{"PhoneType":"Fax","PhoneNumber":"383-1214","AreaCode":"514","PhoneTypeId":"4"}],"Emails":[{"ContactId":"289043299"}],"Websites":[{"Websites":null,"WebsiteTypeId":"1"}],"Designation":"Real Estate Agency","HasEmail":true,"PermitFreetextEmail":true,"PermitShowListingLink":true},"Phones":[{"PhoneType":"Telephone","PhoneNumber":"383-2727","AreaCode":"514","PhoneTypeId":"1"}],"Emails":[{"ContactId":"387887338"}],"Photo":"https://cdn.realtor.ca/individual/lowres/1106282.jpg","Position":"Real Estate Broker","PermitFreetextEmail":true,"FirstName":"Jackeline","LastName":"Mendez","CorporationDisplayTypeId":"0","Websites":null,"EducationCredentials":null,"CorporationName":null,"CorporationType":null,"CccMember":null}]
30757,2016-01-05 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
30784,2016-01-05 00:00:00.000,16399860,21724433,$385,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/16399860/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT21724433&Lang=E,0,closed,NULL
30798,2016-01-05 00:00:00.000,16426020,16712433,$395,000,1964,Pierrefonds/Central East,4,2,House,,13294 Rue de l'Acadie|Pierrefonds-Roxboro (Montréal), Quebec H9A1A9,Beautiful, renovated house with a huge lot,huge in ground swimming pool (heated), very serene.Child safe crescent.Wood burning fireplace, sun filled basement .Close to all.,http://www.realtor.ca/Residential/Single-Family/16426020/13294-Rue-de-lAcadie-Pierrefonds-Roxboro-Montréal-Quebec-H9A1A9-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=RCIIQ%26NoMLS=MT16712433&Lang=E,0,closed,NULL
30804,2016-01-05 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
30616,2016-01-05 00:00:00.000,16417628,21412159,$295,000,1968,Pierrefonds/West,3,2,House,Garage, Integrated garage,4840 Rue Geneviève|Pierrefonds-Roxboro (Montréal), Quebec H9J1S5,Le propriétaire a le droit de vendre par lui même,http://www.realtor.ca/Residential/Single-Family/16417628/4840-Rue-Geneviève-Pierrefonds-Roxboro-Montréal-Quebec-H9J1S5-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21412159&Lang=E,0,closed,NULL
30655,2016-01-05 00:00:00.000,16223650,23074338,$321,800,1957,Pierrefonds/Central West,4,2,House,Garage, Integrated garage, Other,4265 Rue Sunset|Pierrefonds-Roxboro (Montréal), Quebec H9H2J8,Beautiful turnkey bungalow in great location. This renovated home offers 3+1 bedrooms and 2 full baths. Renovations are Roof, Kitchen, Bathroom and more plus the property backs onto the park that has a pool, Tennis courts, Football field and much more. Great home for a growing family,http://www.realtor.ca/Residential/Single-Family/16223650/4265-Rue-Sunset-Pierrefonds-Roxboro-Montréal-Quebec-H9H2J8-PierrefondsCentral-West,,0,closed,NULL
30687,2016-01-05 00:00:00.000,16437291,14746575,$334,900,1954,Forest Gardens (Central North),4,1,House,Garage, Other,234 Boul. St-Charles|Beaconsfield, Quebec H9W2X5,Spacious 3+1 bedroom bungalow located on 13,500 sq.ft. lot. Open concept living/dining room area with lots of daylight. Original, separate kitchen with dinette. Large, magnificent patio overlooking backyard. Close proximity to various services, schools, train & public transport, highway 20/40. A must see!,http://www.realtor.ca/Residential/Single-Family/16437291/234-Boul-St-Charles-Beaconsfield-Quebec-H9W2X5-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MTOUGAS%26NoMLS=MT14746575&Lang=E,0,closed,NULL
30709,2016-01-05 00:00:00.000,16444898,12824106,$349,000,1959,Pierrefonds/East,6,2,House,Other, Garage,10405 Rue du Belvédère|Pierrefonds-Roxboro (Montréal), Quebec H8Y2J7,UNE DES PLUS BELLES LOCALISATIONS (comme un croissant et rue privée ) * EXCELLENTE valeur de revente * BIENVENUE au contracteur et investisseur *OPPORTUNITÉ très rare 55 pieds de façade (WOW!) * Presque terrain double 9000pc!!! 6 chambres * Énorme potentiel! * UNE VISITE VOUS CONVAINCRA! *,http://www.realtor.ca/Residential/Single-Family/16444898/10405-Rue-du-Belvédère-Pierrefonds-Roxboro-Montréal-Quebec-H8Y2J7-PierrefondsEast,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT12824106&Lang=E,0,closed,NULL
30698,2016-01-05 00:00:00.000,16329583,10675450,$339,000,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
30718,2016-01-05 00:00:00.000,16373229,22670980,$350,000,1964,Pierrefonds/Central East,4,1,House,Garage, Other,13094 Rue Lombardy|Pierrefonds-Roxboro (Montréal), Quebec H8Z1G6,INCREDIBLE PRICE!!Well maintained 4 BEDROOM all on same level.Bright & cheerful home with several renos:kitchen(2014),all windows replaces,gas forced air furnace & air condition (2014),gaz fireplace(2010)floors sanded mainlevel & buffed 2nd level(2015)& much more.8800 sf lot & mega oversize driveway!!Move right in! Price to sell.,http://www.realtor.ca/Residential/Single-Family/16373229/13094-Rue-Lombardy-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1G6-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT22670980&Lang=E,0,closed,NULL
30763,2016-01-05 00:00:00.000,15973606,21899441,$374,500,1980,North West,4,1,House,Garage, Other,26 Rue Réginald-Brown|Kirkland, Quebec H9J2Y2,A bright and spacious split on a quiet street with a very large south facing backyard. Near Emile Nelligan and Academie Marie Claire,parks, cinema, restaurants, public transportation and highway 40.,http://www.realtor.ca/Residential/Single-Family/15973606/26-Rue-Réginald-Brown-Kirkland-Quebec-H9J2Y2-North-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=MELLOR%26NoMLS=MT21899441&Lang=E,0,closed,NULL
35096,2016-01-21 00:00:00.000,16399860,21724433,$385,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/16399860/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT21724433&Lang=E,0,closed,NULL
35110,2016-01-21 00:00:00.000,16426020,16712433,$395,000,1964,Pierrefonds/Central East,4,2,House,,13294 Rue de l'Acadie|Pierrefonds-Roxboro (Montréal), Quebec H9A1A9,Beautiful, renovated house with a huge lot,huge in ground swimming pool (heated), very serene.Child safe crescent.Wood burning fireplace, sun filled basement .Close to all.,http://www.realtor.ca/Residential/Single-Family/16426020/13294-Rue-de-lAcadie-Pierrefonds-Roxboro-Montréal-Quebec-H9A1A9-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=RCIIQ%26NoMLS=MT16712433&Lang=E,0,closed,NULL
35120,2016-01-21 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
35134,2016-01-21 00:00:00.000,16228837,22635202,$399,900,1976,West,5,2,House,Other, Garage,1 Rue Biscaye|Dollard-Des Ormeaux, Quebec H9H3V5,Great Family Home. Solid home with many updates. Updates included Roof,Newer Kitchen, Bathroom,Windows,Finished basement,additional insulation in the attic and re-paving of the driveway.,http://www.realtor.ca/Residential/Single-Family/16228837/1-Rue-Biscaye-Dollard-Des-Ormeaux-Quebec-H9H3V5-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE%26NoMLS=MT22635202&Lang=E,0,closed,NULL
35214,2016-01-22 00:00:00.000,16507759,12666080,$300,000,1962,Central,4,1,House,Integrated garage, Garage, Other,29 Rue Elderidge|Dollard-Des Ormeaux, Quebec H9A2P5,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16507759/29-Rue-Elderidge-Dollard-Des-Ormeaux-Quebec-H9A2P5-Central,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT12666080&Lang=E,0,closed,NULL
35192,2016-01-22 00:00:00.000,16417628,21412159,$295,000,1968,Pierrefonds/West,3,2,House,Garage, Integrated garage,4840 Rue Geneviève|Pierrefonds-Roxboro (Montréal), Quebec H9J1S5,Le propriétaire a le droit de vendre par lui même,http://www.realtor.ca/Residential/Single-Family/16417628/4840-Rue-Geneviève-Pierrefonds-Roxboro-Montréal-Quebec-H9J1S5-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21412159&Lang=E,0,closed,NULL
35214,2016-01-22 00:00:00.000,16507759,12666080,$300,000,1962,Central,4,1,House,Integrated garage, Garage, Other,29 Rue Elderidge|Dollard-Des Ormeaux, Quebec H9A2P5,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16507759/29-Rue-Elderidge-Dollard-Des-Ormeaux-Quebec-H9A2P5-Central,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT12666080&Lang=E,0,closed,NULL
35234,2016-01-22 00:00:00.000,16437345,18120655,$319,900,1961,Pierrefonds/Central East,4,2,House,Carport, Other,12227 Rue Tilly|Pierrefonds-Roxboro (Montréal), Quebec H8Z1R8,Superbe residence,Condition impeccable,Une visite vous convaincra.,4 chambres,dont une au sous sol,qui,en passant,est totalement renove 2015 (il y a un mois seulement).,grand terrain de 7000 P C.,Immence Cabanon Tout Neuf.,une visite s'impose!.,vous serez conquis!les visites sont tres accessibles les soirs et les fins de semaines.,ou meme le jour.,http://www.realtor.ca/Residential/Single-Family/16437345/12227-Rue-Tilly-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1R8-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT18120655&Lang=E,0,closed,NULL
35240,2016-01-22 00:00:00.000,16482141,23074338,$321,800,1957,Pierrefonds/Central West,4,2,House,Garage, Integrated garage, Other,4265 Rue Sunset|Pierrefonds-Roxboro (Montréal), Quebec H9H2J8,Beautiful turnkey bungalow in great location. This renovated home offers 3+1 bedrooms and 2 full baths. Renovations are Roof, Kitchen, Bathroom and more plus the property backs onto the park that has a pool, Tennis courts, Football field and much more. Great home for a growing family,http://www.realtor.ca/Residential/Single-Family/16482141/4265-Rue-Sunset-Pierrefonds-Roxboro-Montréal-Quebec-H9H2J8-PierrefondsCentral-West,,0,closed,NULL
35256,2016-01-22 00:00:00.000,16329583,10675450,$329,000,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
35260,2016-01-22 00:00:00.000,16493631,20678592,$329,000,1981,Pierrefonds/Central West,3,2,House,,4319 Rue King|Pierrefonds-Roxboro (Montréal), Quebec H9H2E5,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16493631/4319-Rue-King-Pierrefonds-Roxboro-Montréal-Quebec-H9H2E5-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT20678592&Lang=E,0,closed,NULL
35276,2016-01-22 00:00:00.000,16437291,14746575,$334,900,1954,Forest Gardens (Central North),4,1,House,Garage, Other,234 Boul. St-Charles|Beaconsfield, Quebec H9W2X5,Spacious 3+1 bedroom bungalow located on 13,500 sq.ft. lot. Open concept living/dining room area with lots of daylight. Original, separate kitchen with dinette. Large, magnificent patio overlooking backyard. Close proximity to various services, schools, train & public transport, highway 20/40. A must see!,http://www.realtor.ca/Residential/Single-Family/16437291/234-Boul-St-Charles-Beaconsfield-Quebec-H9W2X5-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MTOUGAS%26NoMLS=MT14746575&Lang=E,0,closed,NULL
35292,2016-01-22 00:00:00.000,16493632,21216520,$340,000,1963,West,4,1,House,Garage, Other,408 Rue Runnymede|Dollard-Des Ormeaux, Quebec H9G1K9,This four bedroom cottage sets on private, child safe crescent like street in family oriented Elm Park area. Walking distance to buses, park/playground with community pool and Fairview Shopping Center. Enter to a closed vestibule. Bright L-shaped living room and dining room with wood floors. Living room features a bow window and...,http://www.realtor.ca/Residential/Single-Family/16493632/408-Rue-Runnymede-Dollard-Des-Ormeaux-Quebec-H9G1K9-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21216520&Lang=E,0,closed,NULL
35297,2016-01-22 00:00:00.000,16444898,12824106,$349,000,1959,Pierrefonds/East,6,2,House,Other, Garage,10405 Rue du Belvédère|Pierrefonds-Roxboro (Montréal), Quebec H8Y2J7,UNE DES PLUS BELLES LOCALISATIONS (comme un croissant et rue privée ) * EXCELLENTE valeur de revente * BIENVENUE au contracteur et investisseur *OPPORTUNITÉ très rare 55 pieds de façade (WOW!) * Presque terrain double 9000pc!!! 6 chambres * Énorme potentiel! * UNE VISITE VOUS CONVAINCRA! *,http://www.realtor.ca/Residential/Single-Family/16444898/10405-Rue-du-Belvédère-Pierrefonds-Roxboro-Montréal-Quebec-H8Y2J7-PierrefondsEast,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT12824106&Lang=E,0,closed,NULL
35352,2016-01-22 00:00:00.000,16472279,21899441,$374,500,1980,North West,4,1,House,Garage, Other,26 Rue Réginald-Brown|Kirkland, Quebec H9J2Y2,A bright and spacious split on a quiet street with a very large south facing backyard. Near Emile Nelligan and Academie Marie Claire,parks, cinema, restaurants, public transportation and highway 40.,http://www.realtor.ca/Residential/Single-Family/16472279/26-Rue-Réginald-Brown-Kirkland-Quebec-H9J2Y2-North-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=MELLOR%26NoMLS=MT21899441&Lang=E,0,closed,NULL
35381,2016-01-22 00:00:00.000,16399860,21724433,$385,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/16399860/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT21724433&Lang=E,0,closed,NULL
35393,2016-01-22 00:00:00.000,16426020,16712433,$395,000,1964,Pierrefonds/Central East,4,2,House,,13294 Rue de l'Acadie|Pierrefonds-Roxboro (Montréal), Quebec H9A1A9,Beautiful, renovated house with a huge lot,huge in ground swimming pool (heated), very serene.Child safe crescent.Wood burning fireplace, sun filled basement .Close to all.,http://www.realtor.ca/Residential/Single-Family/16426020/13294-Rue-de-lAcadie-Pierrefonds-Roxboro-Montréal-Quebec-H9A1A9-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=RCIIQ%26NoMLS=MT16712433&Lang=E,0,closed,NULL
35400,2016-01-22 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
35192,2016-01-22 00:00:00.000,16417628,21412159,$295,000,1968,Pierrefonds/West,3,2,House,Garage, Integrated garage,4840 Rue Geneviève|Pierrefonds-Roxboro (Montréal), Quebec H9J1S5,Le propriétaire a le droit de vendre par lui même,http://www.realtor.ca/Residential/Single-Family/16417628/4840-Rue-Geneviève-Pierrefonds-Roxboro-Montréal-Quebec-H9J1S5-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21412159&Lang=E,0,closed,NULL
35234,2016-01-22 00:00:00.000,16437345,18120655,$319,900,1961,Pierrefonds/Central East,4,2,House,Carport, Other,12227 Rue Tilly|Pierrefonds-Roxboro (Montréal), Quebec H8Z1R8,Superbe residence,Condition impeccable,Une visite vous convaincra.,4 chambres,dont une au sous sol,qui,en passant,est totalement renove 2015 (il y a un mois seulement).,grand terrain de 7000 P C.,Immence Cabanon Tout Neuf.,une visite s'impose!.,vous serez conquis!les visites sont tres accessibles les soirs et les fins de semaines.,ou meme le jour.,http://www.realtor.ca/Residential/Single-Family/16437345/12227-Rue-Tilly-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1R8-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT18120655&Lang=E,0,closed,NULL
35276,2016-01-22 00:00:00.000,16437291,14746575,$334,900,1954,Forest Gardens (Central North),4,1,House,Garage, Other,234 Boul. St-Charles|Beaconsfield, Quebec H9W2X5,Spacious 3+1 bedroom bungalow located on 13,500 sq.ft. lot. Open concept living/dining room area with lots of daylight. Original, separate kitchen with dinette. Large, magnificent patio overlooking backyard. Close proximity to various services, schools, train & public transport, highway 20/40. A must see!,http://www.realtor.ca/Residential/Single-Family/16437291/234-Boul-St-Charles-Beaconsfield-Quebec-H9W2X5-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MTOUGAS%26NoMLS=MT14746575&Lang=E,0,closed,NULL
35240,2016-01-22 00:00:00.000,16482141,23074338,$321,800,1957,Pierrefonds/Central West,4,2,House,Garage, Integrated garage, Other,4265 Rue Sunset|Pierrefonds-Roxboro (Montréal), Quebec H9H2J8,Beautiful turnkey bungalow in great location. This renovated home offers 3+1 bedrooms and 2 full baths. Renovations are Roof, Kitchen, Bathroom and more plus the property backs onto the park that has a pool, Tennis courts, Football field and much more. Great home for a growing family,http://www.realtor.ca/Residential/Single-Family/16482141/4265-Rue-Sunset-Pierrefonds-Roxboro-Montréal-Quebec-H9H2J8-PierrefondsCentral-West,,0,closed,NULL
35256,2016-01-22 00:00:00.000,16329583,10675450,$329,000,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
33687,2016-01-16 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
33691,2016-01-16 00:00:00.000,16472279,21899441,$374,500,1980,North West,4,1,House,Garage, Other,26 Rue Réginald-Brown|Kirkland, Quebec H9J2Y2,A bright and spacious split on a quiet street with a very large south facing backyard. Near Emile Nelligan and Academie Marie Claire,parks, cinema, restaurants, public transportation and highway 40.,http://www.realtor.ca/Residential/Single-Family/16472279/26-Rue-Réginald-Brown-Kirkland-Quebec-H9J2Y2-North-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=MELLOR%26NoMLS=MT21899441&Lang=E,0,closed,NULL
33727,2016-01-16 00:00:00.000,16426020,16712433,$395,000,1964,Pierrefonds/Central East,4,2,House,,13294 Rue de l'Acadie|Pierrefonds-Roxboro (Montréal), Quebec H9A1A9,Beautiful, renovated house with a huge lot,huge in ground swimming pool (heated), very serene.Child safe crescent.Wood burning fireplace, sun filled basement .Close to all.,http://www.realtor.ca/Residential/Single-Family/16426020/13294-Rue-de-lAcadie-Pierrefonds-Roxboro-Montréal-Quebec-H9A1A9-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=RCIIQ%26NoMLS=MT16712433&Lang=E,0,closed,NULL
33715,2016-01-16 00:00:00.000,16399860,21724433,$385,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/16399860/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT21724433&Lang=E,0,closed,NULL
33728,2016-01-16 00:00:00.000,16278785,17692186,$395,000,1971,West,5,2,House,Garage, Integrated garage, Other,77 Rue Catherine|Dollard-Des Ormeaux, Quebec H9G1J4,Lovely 4 + 1 bedroom spacious corner lot cottage, located in the sought after Briarwood area of Dollard-des-Ormeaux. Ten foot hedges offering backyard offering plenty of privacy. Main floor family room w/ patio doors to 20'X12' deck. Close to Wilder Penfield elementary,http://www.realtor.ca/Residential/Single-Family/16278785/77-Rue-Catherine-Dollard-Des-Ormeaux-Quebec-H9G1J4-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT17692186&Lang=E,0,closed,NULL
